POYEAR,POSERIES,PONO,ITEMCODE,INDENTOR,INDYEAR,INDENTNO,MAJSRNO,ENQYEAR,ENQNO,SQTY,PORATE,DISCPER,DLVDATE,AP_VALUE,RECPTYEAR,RECPTNO,RECPTDATE,RECPTQTY,INWYEAR,INWARDNO,INWQTY,STATUS,USERID,ACTION,MOREDESC,MOREDESC1,MOREDESC2,DEPTYPE,DEPTCODE,MACHTYPE,MACHCODE,GPS_QTY,PEN_QTY
20122013,CH,690,10181001,141,20122013,50738,,,0,2000,22.5,0,02-03-13,53090.1,20122013,8414,04-03-13,2000,20122013,8014,1000,E,STORE,ADD,"SPECIFICATIONS ----->               COLOUR---> CREAMY WHITE  DESCRIPTION---> CREAMY WHITE,CRYSTALINE POWDER  SO2 %---> NLT - 60.0%",BSP---> ABSENT  CLARITY OF SOLUTION 50% W---> CLEAR,,D,502,,,0,0
20122013,CH,691,10101010,126,20122013,10067,,,0,3.09,1225,0,04-03-13,4154.97,20122013,8556,07-03-13,3.09,20122013,8044,3.09,E,STORE,ADD,"SPECIFICATIONS ----->               APPEARANCE---> CLEAR,COLOURLES -HCL  FOREIGN MATTER---> NIL  IDENTIFICATION---> FOR CHLORIDE",BAUME @20 C---> 19.00 +/- 1.00  ASSAY % W/S---> 30 +/- 2.00  Free Chlorine---> -,,D,102,,,0,0
20122013,CH,691,10101010,141,20122013,50527,,,0,4.08,1225,0,04-03-13,5486.18,20122013,8557,07-03-13,4.08,20122013,8044,4.08,E,STORE,ADD,"SPECIFICATIONS ----->               APPEARANCE---> CLEAR,COLOURLES -HCL  FOREIGN MATTER---> NIL  IDENTIFICATION---> FOR CHLORIDE",BAUME @20 C---> 19.00 +/- 1.00  ASSAY % W/S---> 30 +/- 2.00  Free Chlorine---> -,,D,502,,,0,0
20122013,CH,691,10101010,141,20122013,50606,,,0,4.08,1225,0,04-03-13,5486.18,20122013,8558,07-03-13,4.08,20122013,8044,4.08,E,STORE,ADD,"SPECIFICATIONS ----->               APPEARANCE---> CLEAR,COLOURLES -HCL  FOREIGN MATTER---> NIL  IDENTIFICATION---> FOR CHLORIDE",BAUME @20 C---> 19.00 +/- 1.00  ASSAY % W/S---> 30 +/- 2.00  Free Chlorine---> -,,D,501,,,0,0
20122013,CH,691,10101010,150,20122013,90200,,,0,5.23,1225,0,04-03-13,7032.52,20122013,8559,07-03-13,5.23,20122013,8044,5.23,E,STORE,ADD,"SPECIFICATIONS ----->               APPEARANCE---> CLEAR,COLOURLES -HCL  FOREIGN MATTER---> NIL  IDENTIFICATION---> FOR CHLORIDE",BAUME @20 C---> 19.00 +/- 1.00  ASSAY % W/S---> 30 +/- 2.00  Free Chlorine---> -,,D,901,,,0,0
20122013,CH,692,10181072,141,20122013,50745,,,0,800,291,0,11-03-13,237456,20122013,8589,09-03-13,800,20122013,8184,800,E,STORE,ADD,,,,D,502,,,0,0
20122013,CH,692,10181072,150,20122013,50746,,,0,400,291,0,11-03-13,118728,20122013,8589,09-03-13,400,20122013,8184,400,E,STORE,ADD,,,,D,509,,,0,0
20122013,CH,693,10102077,112,20122013,30433,,,0,300,315,0,11-03-13,96390,20122013,8739,15-03-13,300,20122013,8331,300,E,STORE,ADD,,,,D,304,,,0,0
20122013,CH,694,10181045,112,20122013,30433,,,0,504,10,0,11-03-13,5292,20122013,8860,19-03-13,510,20122013,8441,510,E,STORE,ADD,SPECIFICATIONS ----->               APPEARANCE---> CLEAR YELLOW SOLUTION  CHLORINE G/LT---> 80 TO 100  CAUSTIC G/LT---> 20 TO 25,BAUME---> 15 MIN  SPECIFIC GRAVITY---> 1.115 MIN,,D,304,,,0,0
20122013,CH,695,10181127,112,20122013,30433,,,0,500,26,0,11-03-13,15207.36,20122013,8811,18-03-13,500,20122013,8374,500,E,STORE,ADD,"SPECIFICATIONS ----->               COLOUR---> CREAMY WHITE  DESCRIPTION---> CREAMY,WHITE,CRYSTALLINE P  SO2 %---> NLT - 64.0%",BSP---> ABSENT  CLARITY OF SOLUTION 50 %---> CLEAR  PURITY---> 95.0% TO 100.5%,,D,304,,,0,0
20122013,CH,696,10104002,141,20122013,50399,,,0,2637,26.4,0,05-03-13,81824.5,20122013,8468,05-03-13,2637,20122013,8070,2637,E,STORE,ADD,"SPECIFICATIONS ----->               APPEARANCE---> CLEAR,COLOURLES,ODORLESS LQD  FOREIGN MATTER---> NIL  IDENTIFICATION---> FOR NAOH",BAUME @ 20 C---> 48.5 +/- 0.50  ASSAY % WW---> 48.00 +/- 1.00  SPECIFIC GRAVITY---> 1.51,,D,501,,,0,0
20122013,CH,696,10104002,141,20122013,50400,,,0,2638,26.4,0,05-03-13,81855.53,20122013,8469,05-03-13,2638,20122013,8070,2638,E,STORE,ADD,"SPECIFICATIONS ----->               APPEARANCE---> CLEAR,COLOURLES,ODORLESS LQD  FOREIGN MATTER---> NIL  IDENTIFICATION---> FOR NAOH",BAUME @ 20 C---> 48.5 +/- 0.50  ASSAY % WW---> 48.00 +/- 1.00  SPECIFIC GRAVITY---> 1.51,,D,502,,,0,0
20122013,CH,696,10104002,150,20122013,50401,,,0,2534,26.4,0,05-03-13,78628.47,20122013,8470,05-03-13,2534,20122013,8070,2534,E,STORE,ADD,"SPECIFICATIONS ----->               APPEARANCE---> CLEAR,COLOURLES,ODORLESS LQD  FOREIGN MATTER---> NIL  IDENTIFICATION---> FOR NAOH",BAUME @ 20 C---> 48.5 +/- 0.50  ASSAY % WW---> 48.00 +/- 1.00  SPECIFIC GRAVITY---> 1.51,,D,510,,,0,0
20122013,CH,697,10101001,112,20122013,30358,,,0,14.72,1725,0,05-03-13,29049.55,20122013,8528,06-03-13,14.72,20122013,8071,14.72,E,STORE,ADD,"SPECIFICATIONS ----->               APPEARANCE---> CLEAR,COLOURLES -HCL  FOREIGN MATTER---> NIL  IDENTIFICATION---> FOR CHLORIDE",BAUME @20 C---> 19.00 +/- 1.00  ASSAY % W/S---> 30 +/- 2.00  Free Chlorine---> -,,D,301,,,0,0
20122013,CH,697,10101001,150,20122013,90006,,,0,1.98,1725,0,05-03-13,3907.48,20122013,8529,06-03-13,1.98,20122013,8071,1.98,E,STORE,ADD,"SPECIFICATIONS ----->               APPEARANCE---> CLEAR,COLOURLES -HCL  FOREIGN MATTER---> NIL  IDENTIFICATION---> FOR CHLORIDE",BAUME @20 C---> 19.00 +/- 1.00  ASSAY % W/S---> 30 +/- 2.00  Free Chlorine---> -,,D,901,,,0,0
20122013,CH,698,10101010,141,20122013,50527,,,0,4.305,1225,0,07-03-13,5788.73,20122013,8591,09-03-13,4.305,20122013,8156,4.305,E,STORE,ADD,"SPECIFICATIONS ----->               APPEARANCE---> CLEAR,COLOURLES -HCL  FOREIGN MATTER---> NIL  IDENTIFICATION---> FOR CHLORIDE",BAUME @20 C---> 19.00 +/- 1.00  ASSAY % W/S---> 30 +/- 2.00  Free Chlorine---> -,,D,502,,,0,0
20122013,CH,698,10101010,141,20122013,50606,,,0,4.305,1225,0,07-03-13,5788.73,20122013,8592,09-03-13,4.305,20122013,8156,4.305,E,STORE,ADD,"SPECIFICATIONS ----->               APPEARANCE---> CLEAR,COLOURLES -HCL  FOREIGN MATTER---> NIL  IDENTIFICATION---> FOR CHLORIDE",BAUME @20 C---> 19.00 +/- 1.00  ASSAY % W/S---> 30 +/- 2.00  Free Chlorine---> -,,D,501,,,0,0
20122013,CH,698,10101010,150,20122013,50720,,,0,7.15,1225,0,07-03-13,9614.25,20122013,8593,09-03-13,7.15,20122013,8156,7.15,E,STORE,ADD,"SPECIFICATIONS ----->               APPEARANCE---> CLEAR,COLOURLES -HCL  FOREIGN MATTER---> NIL  IDENTIFICATION---> FOR CHLORIDE",BAUME @20 C---> 19.00 +/- 1.00  ASSAY % W/S---> 30 +/- 2.00  Free Chlorine---> -,,D,509,,,0,0
20122013,CH,699,10181018,112,20122013,30433,,,0,50,135,0,14-03-13,7087.5,20122013,8867,19-03-13,50,20122013,8442,50,E,STORE,ADD,,,,D,304,,,0,0
20122013,CH,700,10101004,141,20122013,50738,,,0,1000,33.35,0,14-03-13,38608.08,20122013,8547,07-03-13,1000,20122013,8148,1000,E,STORE,ADD,"SPECIFICATIONS ----->               COLOUR---> COLOURLES  DESCRIPTION---> COLOURLESS,CLEAR,SOLN.  PURITY---> NLT - 99 %",FREEZING POINT---> NLT - 14.8 C,,D,502,,,0,0
20122013,CH,701,10120004,150,20122013,90146,,,0,50000,26.25,0,15-03-13,1501416,20132014,200,08-04-13,50820,20132014,212,50820,E,STORE,ADD,,,,D,901,,,0,0
20122013,CH,702,10181127,150,20122013,90243,,,0,2000,26,0,19-03-13,60829.44,20122013,8812,18-03-13,2000,20122013,8374,2000,E,STORE,ADD,"SPECIFICATIONS ----->               COLOUR---> CREAMY WHITE  DESCRIPTION---> CREAMY,WHITE,CRYSTALLINE P  SO2 %---> NLT - 64.0%",BSP---> ABSENT  CLARITY OF SOLUTION 50 %---> CLEAR  PURITY---> 95.0% TO 100.5%,,D,901,,,0,0
20122013,CH,703,10181063,126,20122013,10154,,,0,4000,31,0,19-03-13,130200,20122013,9154,28-03-13,4000,20122013,8725,4000,E,STORE,ADD,,,,D,102,,,0,0
